normalized_player_name,players,teams,positions,player_ids,warning
miller,V.Miller,BUF|JAX|WAS,LB|OLB,00-0027940|00-0038570,Duplicate normalized player name. Do not auto-match by name only.
myles murphy,Myles Murphy,ARI|CIN,DL,00-0038546|00-0039519,Duplicate normalized player name. Do not auto-match by name only.
n harris,N.Harris,CLE|LAC|PIT,C|RB,00-0036236|00-0036893,Duplicate normalized player name. Do not auto-match by name only.
n jones,N.Jones,ARI|HOU|KC|LAC|NYG|TEN,CB|DT,00-0036695|00-0038986,Duplicate normalized player name. Do not auto-match by name only.
n sewell,N.Sewell,CHI|NO,LB,00-0037544|00-0038390,Duplicate normalized player name. Do not auto-match by name only.
n williams,N.Williams,KC|LAC,CB|DT,00-0030500|00-0040670,Duplicate normalized player name. Do not auto-match by name only.
nick williams,Nick Williams,DEN|SF,DL|WR,00-0030500|00-0039045,Duplicate normalized player name. Do not auto-match by name only.
p johnson,P.Johnson,ARI|NYG|PHI,LB|OT,00-0036922|00-0038540,Duplicate normalized player name. Do not auto-match by name only.
q williams,Q.Williams,DAL|NYJ,DT|LB,00-0035680|00-0035718,Duplicate normalized player name. Do not auto-match by name only.
r davis,R.Davis,BUF|IND|MIA,DT|RB,00-0036213|00-0039875,Duplicate normalized player name. Do not auto-match by name only.
r green,R.Green,CHI|SF,CB|DE,00-0034831|00-0039345,Duplicate normalized player name. Do not auto-match by name only.
r wilson,R.Wilson,DEN|NYG|PIT,QB|WR,00-0029263|00-0039739,Duplicate normalized player name. Do not auto-match by name only.
s anderson,S.Anderson,LAC|PIT,G|TE,00-0032725|00-0038645,Duplicate normalized player name. Do not auto-match by name only.
s brown,S.Brown,BUF|PHI,OT|SAF,00-0036976|00-0039002,Duplicate normalized player name. Do not auto-match by name only.
s jones,S.Jones,CIN|DEN,CB|DE,00-0033543|00-0040153,Duplicate normalized player name. Do not auto-match by name only.
s thomas,S.Thomas,ARI|DAL|NYJ,CB|DE,00-0033870|00-0038663,Duplicate normalized player name. Do not auto-match by name only.
s thompson,S.Thompson,BUF|CAR|MIA,OLB|QB,00-0031550|00-0037327,Duplicate normalized player name. Do not auto-match by name only.
s williams,S.Williams,DAL|GB,DE|WR,00-0037665|00-0040009,Duplicate normalized player name. Do not auto-match by name only.
spencer brown,Spencer Brown,ATL|BUF|CAR,OL|RB,00-0036543|00-0036976,Duplicate normalized player name. Do not auto-match by name only.
steven jones,Steven Jones,JAX|PIT|TEN,DB|OL,00-0038846|00-0039555,Duplicate normalized player name. Do not auto-match by name only.
t bass,T.Bass,BUF|DAL,G|K,00-0036162|00-0038731,Duplicate normalized player name. Do not auto-match by name only.
t booker,T.Booker,DAL|LV|PHI,DT|G,00-0037262|00-0040007,Duplicate normalized player name. Do not auto-match by name only.
t brown,T.Brown,CIN|CLE|HOU|IND|LAR|NE|NYJ|SEA,CB|DB|OT,00-0032071|00-0034540|00-0036885,Duplicate normalized player name. Do not auto-match by name only.
t campbell,T.Campbell,CLE|JAX,CB|DB,00-0034903|00-0036974,Duplicate normalized player name. Do not auto-match by name only.
t davis,T.Davis,ATL|CAR|LAR,DE|LB,00-0034500|00-0039749,Duplicate normalized player name. Do not auto-match by name only.
t edmunds,T.Edmunds,CHI|PHI|PIT|TEN,MLB|S,00-0034673|00-0034858,Duplicate normalized player name. Do not auto-match by name only.
t etienne,T.Etienne,CAR|JAX,RB,00-0036973|00-0040644,Duplicate normalized player name. Do not auto-match by name only.
t gipson,T.Gipson,CAR|SEA|SF|TEN,DE|FS|LB,00-0028924|00-0036305,Duplicate normalized player name. Do not auto-match by name only.
t hawkins,T.Hawkins,NYG|SF,CB|SAF,00-0037521|00-0038403,Duplicate normalized player name. Do not auto-match by name only.
t hill,T.Hill,CAR|MIA|NO,CB|TE|WR,00-0031785|00-0033040|00-0033357,Duplicate normalized player name. Do not auto-match by name only.
t jackson,T.Jackson,MIN,SAF|WR,00-0035934|00-0037301,Duplicate normalized player name. Do not auto-match by name only.
t johnson,T.Johnson,BUF|LAR|NYG|NYJ|TB,RB|TE|WR,00-0035537|00-0036427|00-0039847|00-0040237,Duplicate normalized player name. Do not auto-match by name only.
t jones,T.Jones,ARI|BAL|JAX|NE|NO|TEN,DE|DT|LB|RB|WR,00-0035860|00-0036497|00-0037756|00-0038514,Duplicate normalized player name. Do not auto-match by name only.
t robinson,T.Robinson,BAL|PHI,DT|LB,00-0038505|00-0040662,Duplicate normalized player name. Do not auto-match by name only.
t scott,T.Scott,CHI|WAS,OT|WR,00-0034571|00-0038941,Duplicate normalized player name. Do not auto-match by name only.
t smith,T.Smith,CAR|CHI|DAL|DEN|HOU|KC|MIN|NYJ|SEA|TB,CB|DT|G|LB|OT|SAF,00-0027947|00-0034278|00-0035910|00-0036660|00-0037080|00-0037243|00-0038395|00-0039846,Duplicate normalized player name. Do not auto-match by name only.
t taylor,T.Taylor,CHI|NYG|NYJ|SF,P|QB|WR,00-0028118|00-0033292|00-0039745,Duplicate normalized player name. Do not auto-match by name only.
t thomas,T.Thomas,CAR|HOU|MIN|TB,SAF,00-0034488|00-0040295,Duplicate normalized player name. Do not auto-match by name only.
t walker,T.Walker,DET|JAX,DB|DE,00-0034745|00-0037235,Duplicate normalized player name. Do not auto-match by name only.
t wallace,T.Wallace,BAL|CAR,LB|WR,00-0036630|00-0039347,Duplicate normalized player name. Do not auto-match by name only.
t washington,T.Washington,IND|MIA,SAF|WR,00-0039884|00-0040357,Duplicate normalized player name. Do not auto-match by name only.
t williams,T.Williams,CIN|CLE|DET|LAC|SF,DT|OT|RB,00-0027857|00-0035291|00-0040672,Duplicate normalized player name. Do not auto-match by name only.
tyler davis,Tyler Davis,GB|LAR,DL|TE,00-0036250|00-0039749,Duplicate normalized player name. Do not auto-match by name only.
tyler smith,Tyler Smith,CAR|DAL,OL,00-0037243|00-0039673,Duplicate normalized player name. Do not auto-match by name only.
